alpha,chi2
9.849850e-01,8.589690e+01
9.853854e-01,8.589891e+01
9.857858e-01,8.590123e+01
9.861862e-01,8.590388e+01
9.865866e-01,8.590684e+01
9.869870e-01,8.591012e+01
9.873874e-01,8.591372e+01
9.877878e-01,8.591763e+01
9.881882e-01,8.592185e+01
9.885886e-01,8.592639e+01
9.889890e-01,8.593123e+01
9.893894e-01,8.593638e+01
9.897898e-01,8.594184e+01
9.901902e-01,8.594760e+01
9.905906e-01,8.595367e+01
9.909910e-01,8.596004e+01
9.913914e-01,8.596670e+01
9.917918e-01,8.597367e+01
9.921922e-01,8.598094e+01
9.925926e-01,8.598850e+01
9.929930e-01,8.599635e+01
9.933934e-01,8.600450e+01
9.937938e-01,8.601294e+01
9.941942e-01,8.602167e+01
9.945946e-01,8.603068e+01
9.949950e-01,8.603999e+01
9.953954e-01,8.604958e+01
9.957958e-01,8.605945e+01
9.961962e-01,8.606961e+01
9.965966e-01,8.608005e+01
9.969970e-01,8.609076e+01
9.973974e-01,8.610176e+01
9.977978e-01,8.611303e+01
9.981982e-01,8.612457e+01
9.985986e-01,8.613639e+01
9.989990e-01,8.614848e+01
9.993994e-01,8.616084e+01
9.997998e-01,8.617347e+01
1.000200e+00,8.618637e+01
1.000601e+00,8.619953e+01
1.001001e+00,8.621296e+01
1.001401e+00,8.622665e+01
1.001802e+00,8.624061e+01
1.002202e+00,8.625483e+01
1.002603e+00,8.626931e+01
1.003003e+00,8.628404e+01
1.003403e+00,8.629904e+01
1.003804e+00,8.631430e+01
1.004204e+00,8.632981e+01
1.004605e+00,8.634558e+01
1.005005e+00,8.636160e+01
1.005405e+00,8.637788e+01
1.005806e+00,8.639440e+01
1.006206e+00,8.641119e+01
1.006607e+00,8.642822e+01
1.007007e+00,8.644549e+01
1.007407e+00,8.646302e+01
1.007808e+00,8.648079e+01
1.008208e+00,8.649881e+01
1.008609e+00,8.651707e+01
1.009009e+00,8.653558e+01
1.009409e+00,8.655432e+01
1.009810e+00,8.657331e+01
1.010210e+00,8.659253e+01
1.010611e+00,8.661200e+01
1.011011e+00,8.663170e+01
1.011411e+00,8.665163e+01
1.011812e+00,8.667180e+01
1.012212e+00,8.669220e+01
1.012613e+00,8.671284e+01
1.013013e+00,8.673370e+01
1.013413e+00,8.675479e+01
1.013814e+00,8.677611e+01
1.014214e+00,8.679766e+01
1.014615e+00,8.681943e+01
1.015015e+00,8.684143e+01
1.015415e+00,8.686364e+01
1.015816e+00,8.688608e+01
1.016216e+00,8.690873e+01
1.016617e+00,8.693160e+01
1.017017e+00,8.695468e+01
1.017417e+00,8.697798e+01
1.017818e+00,8.700149e+01
1.018218e+00,8.702521e+01
1.018619e+00,8.704914e+01
1.019019e+00,8.707328e+01
1.019419e+00,8.709762e+01
1.019820e+00,8.712216e+01
1.020220e+00,8.714691e+01
1.020621e+00,8.717186e+01
1.021021e+00,8.719701e+01
1.021421e+00,8.722235e+01
1.021822e+00,8.724790e+01
1.022222e+00,8.727363e+01
1.022623e+00,8.729956e+01
1.023023e+00,8.732568e+01
1.023423e+00,8.735200e+01
1.023824e+00,8.737850e+01
1.024224e+00,8.740519e+01
1.024625e+00,8.743206e+01
